cluster1,cluster1response,cluster1descriptor
"(965.8237915039062, 916.155517578125, 2.40232253074646, 175.5120849609375, 0.05014391988515854, 4326143, -1)",0.05014391988515854,"[  2.   3.   1.   6.  77.  27.  14.   3.   9.   7.   1.   1.   2.  13.
  72.  22.  87.  31.   8.   0.   0.   6.  37. 101.  36.  28.  45.  29.
  37.  37.  22.  48.  17.   2.   1.   6. 100.  27.   3.  13. 105.   5.
   1.   1.   4.  16.  73. 130.  29.  32.  20.   1.   3. 130. 130.  32.
   5.  29.  99.  63.  23.  83.  65.   0.  45.   4.   1.  19. 100.   4.
   0.   3. 130.  26.   2.   4.   5.   5.   9.  35.  47.  14.   4.  24.
  27.  77.  48.  10.   1.   6.   2.   9.  79. 110.  74.   1.  39.   8.
   1.  16.  94.   3.   0.   0. 130.  32.   1.   3.   5.   1.   0.   1.
  45.  11.   5.  10.  25.  17.   3.   2.   2.   5.   2.  14. 102.   8.
   4.   1.]"
"(937.005126953125, 376.1004638671875, 2.4895336627960205, 184.73329162597656, 0.04916872829198837, 6882047, -1)",0.04916872829198837,"[ 33.  30.   3.   7.  44.  14.   2.  14. 101.  77.   4.   4.   2.   4.
   9.  51.   6.   8.   5.  47.  74.  59.  14.   7.   0.   0.   0.  18.
  96.  70.   4.   0.  39.  14.   1.   3.  73.  47.   4.  18. 130.  44.
   2.   2.   4.  19.  15. 108.  20.   5.   2.  28.  63. 130.  48.  28.
   1.   0.   0.   9.  60. 130.  65.   4.  38.   5.   0.   3.  71.  30.
   2.   6. 130.  58.   0.   0.  10.  10.   3.  25.  66.  15.   0.   0.
 119.  74.  11.   9.  10.   2.   0.   0.  96.  73.  14.   4.  12.   6.
   0.   6.  69.   1.   0.   0. 130.  90.   1.   1.  11.   0.   0.   0.
  75.  38.   1.   8. 107.   6.   0.   1.  17.   2.   2.   4.  66.  21.
   1.   3.]"
"(901.3080444335938, 105.07184600830078, 87.58465576171875, 175.51756286621094, 0.049063704907894135, 13763076, -1)",0.049063704907894135,"[  0.   0.  31.  41.   5.   0.   0.   0.  38.   6.   6.  77. 118.   0.
   0.   0. 154.  48.   2.  10.  20.   0.   0.   0.  84.  52.   0.   0.
   0.   0.   0.   0.   0.   1. 154.  28.   2.   8.  39.   0.  58.   7.
  55. 124.  57.  11.  34.  12. 154.  42.   1.  14.  10.   1.   6.  28.
 108.  65.   0.   0.   0.   0.   0.   0.   0.   0.  25.   2.   0.  39.
 154.   0.  16.   1.  12.  16.   2.  47. 154.  44. 147.   6.   0.   1.
   0.   2.  63. 140.  78.  34.   0.   0.   0.   0.   0.   4.   0.   0.
   0.   0.   0.   1.   5.   0.   0.   0.   0.   0.   0.   2.  12.   2.
   2.   0.   0.   0.   0.   0.   4.   8.   7.   1.   0.   0.   0.   0.
   0.   0.]"
"(937.3260498046875, 438.12933349609375, 6.968614101409912, 1.62750244140625, 0.04731166735291481, 14484224, -1)",0.04731166735291481,"[ 23.   7.   0.   0.  47.   9.   0.   0. 132.  80.   4.   8.  24.   8.
   2.   4.  47.  24.   5.  34.  82.  23.   2.   4.  89.  11.   0.   1.
   2.   0.   0.   3.  17.   1.   0.   0.  54.  10.   0.   2. 132.  22.
   1.   2.  32.  18.   6.  52.  79.  11.   2.  13. 113.  73.   8.  20.
 132.  12.   0.   1.   5.   3.   0.   3.  12.   2.   0.   0.  42.  11.
   0.   1. 132.  91.  11.   4.  36.   9.   1.  10.  89.  35.  25.  34.
 132.  36.   2.   7. 126.   1.   1.   2.  12.   3.   0.  16.   2.   1.
   1.   1.  37.   9.   0.   2.  35. 113.  68.  11.  54.  13.   1.   1.
  95.  86. 132.  39.  17.   0.   1.   9. 107.   7.   3.   2.   2.   0.
   0.  39.]"
"(969.3077392578125, 971.2741088867188, 2.2191507816314697, 114.18417358398438, 0.04728478193283081, 15335935, -1)",0.04728478193283081,"[  2.   6.  57. 104.   3.   0.   0.   0.  14.  15.  58.  61.   3.   1.
  12.  15.   1.   0.   6.  32.   7.   5.  74.  79.   1.   1.   4.   2.
   0.   0.  86. 118.  36.  13.  31.  91.  35.  28.   9.   7. 118.  34.
  15.   8.   3.   7.  42. 118.  16.   5.   9.  30.   3.   1. 118. 118.
   0.   1.  42.  65.   2.   0.  37.  57.  45.   3.   3.   1.   4.  68.
  42.  39. 118. 118.  13.   3.   0.  46.  31.  31.  38.  70.  48.  83.
   6.   5.  10.  11.   0.   1.  20.  75.  23.   2.   0.   0.  52.   0.
   0.   0.  17.  56.  31.  58.  41.  30.   1.   0.   8. 118.  73.  31.
  56.  52.  29.  30.  15.  30.   5.   4.   0.   1.  35. 116.  18.   3.
   0.   0.]"
"(938.0419921875, 402.6647644042969, 2.8386337757110596, 182.4010467529297, 0.04710111394524574, 16384767, -1)",0.04710111394524574,"[ 28.  17.   2.   7.  86.   9.   0.   3.  81.  44.  13.   5.  17.  20.
   5.  14.  87.  56.  37.  11.  13.  20.   7.  10.  14.  12.  39.  97.
  89.  25.   1.   2.  23.   7.   0.   4.  90.  39.   9.  18. 127.  24.
   0.   1.   9.  33.  45. 111.  16.  21.  17.   7.  18. 123. 126.  18.
   0.   4.  26.  63.  50. 127.  45.   0.  22.   2.   0.   1.  49.  29.
   3.   5. 127.  33.   0.   0.  12.  10.   6.  24.  59.   6.   0.   0.
 100.  52.  20.   6.   0.   0.   0.   0. 127.  73.  11.   1.  12.   2.
   0.   5.  56.   3.   0.   0. 127.  33.   0.   2.  11.   1.   0.   0.
  68.  11.   0.   0.  77.  25.   0.   0.   0.   0.   0.   1. 127.  28.
   0.   0.]"
"(932.2527465820312, 343.16961669921875, 7.502349853515625, 356.8802490234375, 0.04679442569613457, 3145985, -1)",0.04679442569613457,"[  1.   0.   0.   3.  29.   2.   1.   1.  11.   0.   0.   4.  55.  16.
  48.  25. 138.   8.   0.   0.   3.   3.  41.  56. 111.  19.   0.   0.
   0.   0.   0.   2.  13.   1.   0.   7.  28.   1.   1.   2. 138.   2.
   0.   3.  15.  15.  85. 126.  92.  26.   1.   3.  51.  47. 112.  79.
 102.  59.   0.   1.   3.   1.   0.   3.  23.   3.   0.   2.  41.   1.
   0.   0. 138.  51.   2.   6.  27.   4.   2.  17.  94.  24.   5.  24.
 138.  15.   2.   8. 138.  21.   1.   1.  11.   0.   0.   2.  13.   1.
   0.   0.  34.   6.   0.   1. 138.  31.   2.   3.  19.   4.   0.  12.
  75.  12.   4.  19.  90.  17.   1.  10. 130.   0.   0.   1.   5.   1.
   0.   8.]"
"(936.528564453125, 367.1239318847656, 2.317491292953491, 157.86001586914062, 0.046549078077077866, 1704703, -1)",0.046549078077077866,"[  6.   1.   1.  55.  29.   0.   0.   1. 125.   1.   0.  13.   7.   0.
   0.  86. 125.   1.   0.  39.  42.   1.   0.  75.   6.   0.   0.  38.
  68.   8.   4.   6.  34.  14.   7.  71.  45.   1.   0.   2. 125.  49.
   8.   9.   1.   0.   0.  65.  97.  16.  16.  92.  50.   0.   0.  29.
  10.   1.   1.  39.  57.   2.   0.  21.  26.   7.   2.  23.  53.  14.
  41.  53. 125.  96.  27.   3.   1.  10.  62.  77.  19.  74. 125.  32.
   7.  17.  10.   4.   4.  26.  74.  78.  31.   2.   1.   7. 103.  31.
   6.   8.   4.   2.  16.  62.  50.  12.   9.   4.   3.  47.  95.  79.
   0.   9.  29.   7.  10. 125.  49.   1.   0.   6.  41.  54.  60.  46.
   6.   0.]"
"(959.7913818359375, 864.4557495117188, 3.132948875427246, 344.2362365722656, 0.046037908643484116, 6816767, -1)",0.046037908643484116,"[  9.  15.   9.  53.  24.   0.   1.   2.  88.  75.   8.   5.   2.   2.
  40.  38.  12.  18.  32.  16.   6.  61.  99.  10.  55.   6.  13.  12.
   8.  49.  40.  34.  39.  18.  11.  94.  51.   0.   0.   1. 119.  69.
  12.   9.   4.   3.   2.  40.  27.  20.  62.  74.  66.  13.   4.  13.
  99.  18.  37.  26.  11.   4.   1.  35.  70.   7.   2.  33.  87.   1.
   0.  24. 119.  39.  13.  17.   9.  14.   9.  77.  45.  12.  21. 108.
  66.  29.   5.  15. 119.   2.   2.   9.   6.   1.   0.  73.  91.   0.
   0.   6.  61.   2.   1.  53. 119.   0.   0.   5.  39.  22.  12. 112.
  49.   0.   0.  14. 112.  46.   6.  28. 119.   0.   0.   0.   1.   1.
   0.  54.]"
"(956.2206420898438, 917.4996948242188, 3.2805519104003906, 339.4700622558594, 0.04598292335867882, 10159103, -1)",0.04598292335867882,"[  0.   0.   1.   8.   9.   1.   1.   0.   4.   0.   0.  46.  72.   0.
   0.   3. 129.   0.   0.  15.  33.   1.   0. 127.  90.   2.   1.   1.
   1.  13.  18.  85.   0.   0.   1.  12.  35.   3.   0.   0.  31.   5.
   2.  75. 101.   1.   1.  10. 129.  51.   3.  12.  11.   0.   1.  95.
  75.  50.   4.   3.   8.   1.   3.  38.   0.   0.   0.  25.  59.   2.
   1.   0.  75.   4.   1.  48.  95.   4.   7.  80. 129.  55.   4.   6.
   9.  17.  63. 129.  17. 129.  42.  27.  19.  16.  14.   6.   0.   0.
   0.  32.  74.   0.   0.   0. 129.   8.   1.  25.  48.   0.   0.  34.
 129.  33.  17.  48.  22.  15.  13.  43.   0.  11.  42.  80.  31.  21.
   4.   0.]"
