cluster0,cluster0response,cluster0descriptor
"(943.6778564453125, 2165.5712890625, 2.940765142440796, 196.95428466796875, 0.04430927336215973, 2229247, -1)",0.04430927336215973,"[ 41.  14.   0.   0.   5.  29.  16.   4. 112.  11.   0.   0.   0.   1.
  26.  77.   4.   0.   0.   0.   0.  24. 126.  33.   0.   0.   0.   0.
   1.  28.  98.  24.  52.   3.   0.   0.  29. 114.  15.  11. 129.  19.
   0.   0.   3.  14.  16.  73.  46.  15.   0.   0.   0.  14. 129.  57.
   1.   0.   0.   0.   1.  10. 129.  82.  45.  28.   1.   0.  42.  73.
   4.   5. 129. 129.   1.   0.  20.  33.   2.  10. 103. 129.   1.   0.
   0.   0.  12.  16.  31.  24.   5.   4.  10.   2.  17.  25.  29.  86.
   1.   0.  15.  16.   0.   0.  37.  57.   1.   0.  31.  49.  12.  11.
 129. 115.   1.   0.   0.   2.   5.  18.  29.  53.  25.   4.   2.   0.
   0.   0.]"
"(949.2810668945312, 2115.96630859375, 4.376418113708496, 144.91395568847656, 0.043259505182504654, 14287104, -1)",0.043259505182504654,"[  1.   2.   1.   1.   2.   1.   2.   6.   9.   1.   1.   2.   3.   2.
  28. 116.  21.   0.   0.   0.   0.   0.  57. 149.  22.   0.   0.   0.
   0.   0.  21. 149.  30.   1.   0.   0.   0.   0.   7.  44. 149.   7.
   1.   1.   1.   0.  23. 149.  22.   2.   1.  14.  19.   6.  81. 149.
  19.   0.   1.   2.   2.   1.  17.  76.  69.   6.   0.   0.   0.   0.
   0.  27. 149.  60.   4.   3.   1.   0.   0.  77.  58.  24.   9.  21.
  16.   1.   2.  51.  27.   0.   0.   1.   1.   0.   1.  70.  73.   4.
   1.   1.   0.   0.   0. 105. 120.   4.   0.   0.   0.   0.   0. 149.
  28.   3.   0.   0.   0.   0.   0.  94.  11.   0.   0.   0.   0.   0.
   1.  39.]"
"(949.2810668945312, 2115.96630859375, 4.376418113708496, 144.91395568847656, 0.043259505182504654, 14287104, -1)",0.043259505182504654,"[  1.   2.   1.   1.   2.   1.   2.   6.   9.   1.   1.   2.   3.   2.
  28. 116.  21.   0.   0.   0.   0.   0.  57. 149.  22.   0.   0.   0.
   0.   0.  21. 149.  30.   1.   0.   0.   0.   0.   7.  44. 149.   7.
   1.   1.   1.   0.  23. 149.  22.   2.   1.  14.  19.   6.  81. 149.
  19.   0.   1.   2.   2.   1.  17.  76.  69.   6.   0.   0.   0.   0.
   0.  27. 149.  60.   4.   3.   1.   0.   0.  77.  58.  24.   9.  21.
  16.   1.   2.  51.  27.   0.   0.   1.   1.   0.   1.  70.  73.   4.
   1.   1.   0.   0.   0. 105. 120.   4.   0.   0.   0.   0.   0. 149.
  28.   3.   0.   0.   0.   0.   0.  94.  11.   0.   0.   0.   0.   0.
   1.  39.]"
"(925.4901123046875, 2149.509765625, 33.34321212768555, 188.93521118164062, 0.04137052223086357, 10748163, -1)",0.04137052223086357,"[  3.   6.  62.  43.   8.   1.   0.   1.  22.  33.  56.   7.   0.   0.
   4.  19.  88.   5.  14.   7.   0.   0.  10. 120. 110.   0.   0.   1.
   0.   0.   0.  96.  22.   2.   7.   9.  51.  25.   1.  10. 146.   6.
   2.   0.   0.   0.  25. 146.  52.   1.   0.   0.   1.   0.  80. 146.
  25.   0.   0.   1.   7.   3.   6.  74.  34.   3.   0.   0.  82.  41.
   1.   4. 146.  61.   0.   0.   1.   1.   2.  43. 146.  31.   0.   0.
   1.   0.  10.  51.   2.   1.   0.   1.  11.   6.   1.   4.  11.   2.
   0.   0.  94.  34.   0.   0. 146.  79.   0.   0.   5.   2.   0.   0.
 146.  55.   0.   0.   0.   0.   0.   0.   5.   1.   0.   0.   4.   6.
   0.   1.]"
"(1016.2797241210938, 1974.405517578125, 3.0202536582946777, 7.41973876953125, 0.04115988686680794, 4195327, -1)",0.04115988686680794,"[118.  26.   1.   2.  10.   2.   4.  25.  18.  13.   6.  27. 119.  14.
   4.   3.  50.  57.   8.   9.  13.   1.   0.   0.  47.  26.   0.   0.
   0.   0.   0.   0.  75.  51. 106.  38.   3.   0.   0.   8.  22.  26.
 128. 128.  46.   1.   0.   1. 128. 107.  39.  40.   6.   0.   0.   3.
  94.  22.   0.   0.   0.   0.   0.   3.   1.  15. 115.  71.   5.  19.
  20.   2.  62.   8.  78. 107.   3.  11.   8.  46. 128.  37.   7.   5.
   0.   0.   0.  49. 106.  36.   0.   0.   0.   0.   0.   1.  10.   1.
   1.   9.  40.  70.  75.  28.  56.  12.   1.   7.  39.  42.  15.  20.
 128.  34.   0.   0.   0.   0.   0.  12. 106.  13.   0.   0.   0.   0.
   0.   5.]"
"(1016.2797241210938, 1974.405517578125, 3.0202536582946777, 7.41973876953125, 0.04115988686680794, 4195327, -1)",0.04115988686680794,"[118.  26.   1.   2.  10.   2.   4.  25.  18.  13.   6.  27. 119.  14.
   4.   3.  50.  57.   8.   9.  13.   1.   0.   0.  47.  26.   0.   0.
   0.   0.   0.   0.  75.  51. 106.  38.   3.   0.   0.   8.  22.  26.
 128. 128.  46.   1.   0.   1. 128. 107.  39.  40.   6.   0.   0.   3.
  94.  22.   0.   0.   0.   0.   0.   3.   1.  15. 115.  71.   5.  19.
  20.   2.  62.   8.  78. 107.   3.  11.   8.  46. 128.  37.   7.   5.
   0.   0.   0.  49. 106.  36.   0.   0.   0.   0.   0.   1.  10.   1.
   1.   9.  40.  70.  75.  28.  56.  12.   1.   7.  39.  42.  15.  20.
 128.  34.   0.   0.   0.   0.   0.  12. 106.  13.   0.   0.   0.   0.
   0.   5.]"
"(1012.9671630859375, 1971.308837890625, 3.138474941253662, 251.7423858642578, 0.04101822152733803, 6947839, -1)",0.04101822152733803,"[  5.  25.  43.  84.  55.  24.   7.   1.  55.   7.   5.  16.  16.   4.
  22.  60.   6.   4.   4.   0.   1.  33. 102.  43.   0.   7.  13.   0.
   1.  44.  57.   0.  30.  16.  33.  47.  16.  46.  12.   1. 127.  23.
   4.   7.   2.   8.  16.  97.  43.   8.   2.   0.   1. 105. 108.  54.
   2.   1.   0.   0.  22. 110.  68.   1.  16.   1.   0.   0.   6. 127.
  94.   5. 127.  80.   5.   0.   1.  43.  69.  50.  50. 124.  60.   3.
   1.  22.  40.  14.   1.  18.  32.  63.  92.  63.  30.   1.   0.   0.
   0.   0.   0.  66.  97.   1.  12.   6.   1.   0.   0.  46. 127.  24.
   6.  25.  17.   2.   1.  13.  66.  12.   0.   6.  17.  41.  34.  54.
  25.   0.]"
"(937.9924926757812, 2162.492431640625, 8.536410331726074, 189.2774658203125, 0.04025329276919365, 12452097, -1)",0.04025329276919365,"[ 41.   5.   0.   0.   1.   3.   3.  16.  81.   8.   0.   0.   0.   0.
  18.  42.   2.   0.   0.   0.   0.   0.  72.  37.   0.   0.   0.   0.
   0.   2. 117.  42.  73.   5.   0.   0.   1.   0.   3.  70. 141.   5.
   0.   0.   0.   0.  80. 147.  15.   3.   2.   0.   0.   0. 147. 147.
   2.   3.   8.   0.   0.   0. 147. 112. 138.  29.   0.   0.   0.   0.
   0.   7. 147.  40.   0.   0.   0.   0.   6.  37.  65.  43.  13.   0.
   0.   0.  25.  28.   2.  11.  32.   0.   0.   0.   7.   7.  94.  17.
   0.   0.   0.   1.   0.   1. 147.  61.   0.   0.   0.   0.   0.   2.
  73.  32.   1.   0.   0.   0.   0.   0.   4.   8.   2.   0.   0.   0.
   0.   0.]"
"(937.9924926757812, 2162.492431640625, 8.536410331726074, 189.2774658203125, 0.04025329276919365, 12452097, -1)",0.04025329276919365,"[ 41.   5.   0.   0.   1.   3.   3.  16.  81.   8.   0.   0.   0.   0.
  18.  42.   2.   0.   0.   0.   0.   0.  72.  37.   0.   0.   0.   0.
   0.   2. 117.  42.  73.   5.   0.   0.   1.   0.   3.  70. 141.   5.
   0.   0.   0.   0.  80. 147.  15.   3.   2.   0.   0.   0. 147. 147.
   2.   3.   8.   0.   0.   0. 147. 112. 138.  29.   0.   0.   0.   0.
   0.   7. 147.  40.   0.   0.   0.   0.   6.  37.  65.  43.  13.   0.
   0.   0.  25.  28.   2.  11.  32.   0.   0.   0.   7.   7.  94.  17.
   0.   0.   0.   1.   0.   1. 147.  61.   0.   0.   0.   0.   0.   2.
  73.  32.   1.   0.   0.   0.   0.   0.   4.   8.   2.   0.   0.   0.
   0.   0.]"
"(888.4600219726562, 2179.59765625, 6.345804691314697, 214.88259887695312, 0.04004897549748421, 7734016, -1)",0.04004897549748421,"[ 11.  15.   0.   0.   4.  22.   2.   1. 141.  26.   0.   0.   0.   1.
   1.   1. 170.   8.   0.   1.   3.   1.   0.   8.  31.   0.   1.  14.
  22.  12.   1.   2.   3.   1.   0.   0.   1.  23.  17.   3. 141.  25.
   0.   0.   0.   7.  20.  14. 170.  41.   0.   0.   2.   1.   1.  13.
  42.   5.   0.   1.  16.  22.   3.   1.   4.   0.   0.   0.   0.   2.
  14.  24.  72.   1.   0.   0.   0.   4.  35. 145. 170.   5.   0.   0.
   0.   0.   2. 156.  40.   2.   6.   2.   3.   8.   4.   9.   4.   0.
   0.   0.   0.   0.  36.  80.  38.   0.   0.   0.   0.   0.  23. 170.
  52.   1.   1.   3.   3.   1.   7. 170.   7.   2.  16.   9.   3.   0.
   0.   3.]"
"(1012.9439697265625, 1964.80859375, 3.062734365463257, 1.486663818359375, 0.039881255477666855, 5178367, -1)",0.039881255477666855,"[ 38.  12.   8.  11.   6.  28.  20.  31.   1.   0.   3.  13.  19.  77.
  46.   6. 100.  14.   0.   0.   7.  33.  41.  26. 121.  21.   0.   0.
   0.   0.   1.  18.  63.  33.  19.  20.   3.   2.   4.  25.  49.   2.
   6.  18.   9.  19.  89. 121.  31.   1.   0.   2.  34.  81. 121.  65.
 113.  13.   0.   0.   3.   4.   9.  36. 121.   6.   0.   0.   2.   0.
   1.  26. 121.  27.   2.   6.  16.   4.   8.  64.  30.  15.   6.  45.
 121.  22.  11.   9.  71.  40.   5.   8.  12.   1.   0.   1.  73.  63.
  15.   1.   3.   0.   0.   9.  80.  56. 121.  41.   4.   0.   0.  17.
  24.  27. 121. 121.  42.   0.   0.   2. 118.  58.  22.  16.   3.   0.
   0.   2.]"
"(1012.9439697265625, 1964.80859375, 3.062734365463257, 1.486663818359375, 0.039881255477666855, 5178367, -1)",0.039881255477666855,"[ 38.  12.   8.  11.   6.  28.  20.  31.   1.   0.   3.  13.  19.  77.
  46.   6. 100.  14.   0.   0.   7.  33.  41.  26. 121.  21.   0.   0.
   0.   0.   1.  18.  63.  33.  19.  20.   3.   2.   4.  25.  49.   2.
   6.  18.   9.  19.  89. 121.  31.   1.   0.   2.  34.  81. 121.  65.
 113.  13.   0.   0.   3.   4.   9.  36. 121.   6.   0.   0.   2.   0.
   1.  26. 121.  27.   2.   6.  16.   4.   8.  64.  30.  15.   6.  45.
 121.  22.  11.   9.  71.  40.   5.   8.  12.   1.   0.   1.  73.  63.
  15.   1.   3.   0.   0.   9.  80.  56. 121.  41.   4.   0.   0.  17.
  24.  27. 121. 121.  42.   0.   0.   2. 118.  58.  22.  16.   3.   0.
   0.   2.]"
"(1012.9439697265625, 1964.80859375, 3.062734365463257, 1.486663818359375, 0.039881255477666855, 5178367, -1)",0.039881255477666855,"[ 38.  12.   8.  11.   6.  28.  20.  31.   1.   0.   3.  13.  19.  77.
  46.   6. 100.  14.   0.   0.   7.  33.  41.  26. 121.  21.   0.   0.
   0.   0.   1.  18.  63.  33.  19.  20.   3.   2.   4.  25.  49.   2.
   6.  18.   9.  19.  89. 121.  31.   1.   0.   2.  34.  81. 121.  65.
 113.  13.   0.   0.   3.   4.   9.  36. 121.   6.   0.   0.   2.   0.
   1.  26. 121.  27.   2.   6.  16.   4.   8.  64.  30.  15.   6.  45.
 121.  22.  11.   9.  71.  40.   5.   8.  12.   1.   0.   1.  73.  63.
  15.   1.   3.   0.   0.   9.  80.  56. 121.  41.   4.   0.   0.  17.
  24.  27. 121. 121.  42.   0.   0.   2. 118.  58.  22.  16.   3.   0.
   0.   2.]"
"(889.4610595703125, 2178.5908203125, 3.311006546020508, 220.14866638183594, 0.03875577077269554, 10814463, -1)",0.03875577077269554,"[  7.  15.   4.   0.   0.  13.  10.   2.  36.  33.  18.   3.   1.   2.
   2.   0. 156. 104.   1.   0.   0.   0.   0.   0. 120.  39.   0.   4.
  10.   0.   0.   0.   0.   1.   0.   0.   2.  22.  27.   8.  38.  19.
   6.   5.  31.  36.  16.   9. 156.  71.   2.   1.   2.   2.   2.  23.
 156.  47.   0.   1.   9.   1.   0.   1.   6.   0.   0.   0.   1.   6.
  10.  28.  17.   1.   0.   0.  17.  48.  45.  84. 156.   6.   0.   0.
   1.   3.  12. 156. 156.  13.   0.   0.   2.   3.   1.  17.  19.   7.
   0.   0.   0.   0.   3.  17.  60.   4.   0.   0.   0.   2.  11.  85.
  91.   0.   0.   0.   0.   0.   8. 156. 115.  11.   2.   1.   1.   0.
   2.  41.]"
